"","Wood","Oven","Phase","IO_02L_Avg","UO_02_Avg","AO_02_Avg","IO_04R_Avg","FB_01_Avg","IO_01T_Avg","SA_01_Avg","P_01_Avg","AO_01_Avg","Roofline","Chimney","NO","SO2","CO","CO2","O2","PM (mg/m3)"
"10020","BW","NO","High",183.8,79.24,395.3,90.4,817,267.6,375,495.4,543,126.7,211.5,111.3527,15.07173,4788.545,6.226852,12.26112,9.53
"10021","BW","NO","High",185.3,80.1,397.8,91.5,820,268.7,375.5,494.5,536.9,126.7,210.7,112.2341,29.59879,4391.539,6.762476,11.70883,6.22
"10022","BW","NO","High",186.8,80.9,397.8,92.3,822,269.8,375.8,492.7,527.9,126.7,209.8,116.2809,28.65655,4176.073,7.105067,11.19806,4.43
"10023","BW","NO","High",188.3,81.7,396.2,93,824,270.8,376,490.5,520,126.6,208.7,117.3413,17.01098,2869.676,6.865011,11.6409,4.17
"10024","BW","NO","High",189.7,82.5,393,93.6,825,271.7,376,488.6,513.3,126.6,207.2,113.9999,12.33083,2172.8,6.451707,12.30264,3.57
"10025","BW","NO","High",191.1,83.2,389.3,94.2,827,272.5,375.8,487.8,509.8,126.6,205.5,110.487,10.99493,1948.595,6.117167,12.79077,3.68
"10026","BW","NO","High",192.5,84,385,94.8,829,273.3,375.3,486.9,506.4,126.5,203.7,107.8534,10.42888,2057.068,5.981362,12.99709,2.21
"10027","BW","NO","High",193.8,84.8,380.7,95.4,830,274,374.7,485.3,501.1,126.3,201.9,105.5682,10.02885,2308.574,5.777235,13.22698,1.44
"10028","BW","NO","High",195,85.5,376.1,96,832,274.6,373.8,481.4,497.5,126.2,200.2,99.94039,10.33045,2725.694,5.386203,13.64968,1.1
"10029","BW","NO","High",196.3,86.3,371.7,96.6,833,275.1,372.9,477.3,493.8,126,198.7,84.98611,12.90455,2848.503,4.636161,14.62377,0.821
"10030","BW","NO","High",197.4,87.1,367.4,97.2,834,275.5,372.1,472.2,490.6,125.8,197.2,83.22795,13.6074,3548.083,4.621666,14.67913,1.91
"10031","BW","NO","High",198.6,87.8,364.2,97.7,835,275.9,371.5,467.7,483,125.5,195.5,84.46034,11.93774,3624.037,4.637706,14.66781,2.09
"10032","BW","NO","High",199.7,88.6,361.3,98.3,836,276.1,371,461.9,476,125.2,193.9,85.34303,10.03556,3459.345,4.643409,14.698,1.57
"10033","BW","NO","High",200.7,89.3,358.9,98.8,836,276.3,370.5,456.6,469.8,124.8,192.4,80.5928,11.77168,2771.926,4.599506,14.91778,1.83
"10034","BW","NO","High",201.7,90.1,357.5,99.3,836,276.4,370.2,454.1,463.1,124.5,191.3,84.46764,13.07282,2800.273,5.137019,14.20106,1.66
"10035","BW","NO","High",202.6,90.8,356,99.8,836,276.5,370.1,453.5,458.1,124.1,190.3,89.57294,11.90263,2582.894,5.32493,13.95448,0.991
"10036","BW","NO","High",203.6,91.6,351.6,100.3,834,276.5,369.2,450.6,466.1,123.9,190.8,91.15981,10.16657,2382.527,5.314079,13.97964,0.923
"10037","BW","NO","High",204.4,92.4,347.1,100.7,836,276.5,368,446.1,487.2,123.5,192.1,89.57705,9.766662,2379.843,5.179341,14.14319,0.94
"10038","BW","NO","High",205.3,93.2,341.9,101.2,838,276.4,366.4,442.8,498.7,123.1,192,85.53442,10.23468,2805.771,4.992517,14.36713,0.86
"10039","BW","NO","High",206.1,93.9,336.2,101.6,840,276.3,364.7,438.5,495.3,122.7,190.7,83.77444,11.10307,3342.492,4.914145,14.44387,0.705
"10040","BW","NO","High",206.9,94.7,329.6,102,842,276.2,362.8,433.4,482,122.3,188.6,81.66522,12.0395,3861.423,4.78228,14.55835,0.591
"10041","BW","NO","High",207.6,95.4,322.2,102.4,841,276.1,360.3,427.5,463.5,121.9,185.9,77.97095,12.34159,4040.333,4.537775,14.82758,0.537
"10042","BW","NO","High",208.3,96.2,315.2,102.8,842,275.8,357.8,420.6,447.4,121.4,183.7,74.63061,10.90644,3356.659,4.268616,15.24149,0.605
"10043","BW","NO","High",209,96.9,309.5,103.2,844,275.5,355.5,420.4,436.3,120.9,183,70.40845,10.3402,3083.75,4.11004,15.50694,0.764
"10044","BW","NO","High",209.6,97.7,305.3,103.6,845,275.1,353.3,428,428.7,120.4,183.2,67.94702,9.706437,3118.003,4.008481,15.65413,0.96
"10045","BW","NO","High",210.2,98.4,301.6,103.9,845,274.7,351.2,437,421.9,119.8,183.1,64.95451,9.306631,3211.499,3.916612,15.77239,1.01
"10046","BW","NO","High",210.7,99.2,297.7,104.2,845,274.3,349.4,440,414,119.3,182.5,64.42846,9.239336,3493.326,3.887406,15.77616,0.877
"10047","BW","NO","High",211.2,99.9,293.9,104.5,844,273.8,347.8,440.2,405.2,118.8,181.7,61.08549,9.941128,3622.332,3.785164,15.90323,0.87
"10048","BW","NO","High",211.7,100.7,290.6,104.8,842,273.3,346.2,442.8,397.9,118.2,181,59.85522,11.21,3949.967,3.71362,15.92965,1.18
"10049","BW","NO","High",212.2,101.4,288.1,105.1,840,272.8,344.6,449.2,393.4,117.7,180.6,56.8639,13.78652,4114.393,3.609461,16.02904,1.39
"10050","BW","NO","High",212.6,102.2,286.4,105.3,837,272.3,343.2,455.7,390.8,117.1,180,56.16052,12.91739,4242.773,3.670739,15.96613,2.2
"10051","BW","NO","High",213,102.9,284.9,105.6,840,271.7,342,460.1,388.5,116.6,179.3,57.21802,11.34622,4154.006,3.731493,15.91581,2.78
"10052","BW","NO","High",213.4,103.6,283.6,105.8,844,271.1,340.9,463.4,385.3,116.1,178.7,58.45039,10.07798,3975.568,3.707769,15.97157,1.96
"10053","BW","NO","High",213.7,104.4,282.9,106,843,270.5,339.7,464.5,381.6,115.6,178.1,61.79779,8.674878,3248.119,3.916115,15.88436,0.984
"10054","BW","NO","High",214.1,105.1,282.1,106.2,840,269.9,338.5,463.8,376.9,115.1,177.3,70.60131,7.740448,3400.68,4.224221,15.3941,0.815
"10055","BW","NO","High",214.4,105.8,281.1,106.4,836,269.3,337.2,463.8,371.7,114.6,176.4,66.55466,7.641871,4075.558,3.979678,15.54594,0.711
"10056","BW","NO","High",214.7,106.5,280.2,106.6,832,268.7,335.9,461,366.6,114.1,175.5,59.33677,8.011052,4969.025,3.610424,15.90489,1.38
"10057","BW","NO","High",214.9,107.2,279.4,106.8,828,268.1,334.6,456.5,361.8,113.6,174.6,52.12039,7.445312,4959.454,3.210822,16.40436,1.1
"10058","BW","NO","High",215.2,107.9,278.5,106.9,824,267.4,333.4,452.6,358.3,113.2,173.8,45.43166,7.512947,4591.832,2.952721,16.81658,1
"10059","BW","NO","High",215.4,108.6,277.7,107.1,822,266.8,332.2,450.5,355.8,112.7,173.1,43.32204,8.848329,5647.722,2.972631,16.72265,1.23
"10060","BW","NO","High",215.6,109.2,276.9,107.2,820,266.1,331,449.4,353.5,112.3,172.5,51.77631,8.879753,4989.939,3.446672,16.28987,1.15
"10061","BW","NO","High",215.8,109.9,276.3,107.4,818,265.5,330,447.3,351,111.8,171.9,62.34754,8.110799,4160.103,3.860545,15.82774,0.878
"10062","BW","NO","High",216,110.6,275.2,107.5,817,264.8,329,445,348.5,111.4,171.3,63.7573,8.745079,4159.82,3.908737,15.72875,0.821
"10063","BW","NO","High",216.2,111.3,273.6,107.6,817,264.2,328.2,445.4,346.2,110.9,170.7,58.47601,10.5495,5081.645,3.729446,15.8206,0.81
"10064","BW","NO","High",216.3,111.9,272,107.7,815,263.5,327.4,448.3,344.6,110.5,170.3,55.30644,10.5498,5209.874,3.662104,15.90741,1.12
"10065","BW","NO","High",216.4,112.6,270.4,107.8,813,262.8,326.7,451.2,342.4,110,170.3,55.83755,10.38352,5276.917,3.719567,15.84662,1.37
"10066","BW","NO","High",216.6,113.3,268.9,107.9,811,262.2,326,453.5,340.9,109.6,170.4,57.24704,9.68198,5222.639,3.782821,15.77531,0.566
"10067","BW","NO","High",216.7,113.9,267.1,108,809,261.5,325.1,453.4,339.5,109.1,169.9,57.7778,9.682348,5738.934,3.785203,15.70359,0.437
"10068","BW","NO","High",216.8,114.6,264.8,108.1,807,260.9,324.1,450.6,337,108.7,168.6,56.19229,8.913118,5519.417,3.709104,15.82815,0.441
"10069","BW","NO","High",216.9,115.2,262.5,108.2,806,260.2,323.3,446.2,334.5,108.2,167.3,54.07834,7.811802,3895.15,3.719829,16.00302,0.454
"10070","BW","NO","High",216.9,115.8,260.3,108.3,805,259.6,322.5,441.1,332,107.8,165.7,54.60747,7.245917,3452.022,3.691663,16.08983,0.413
"10071","BW","NO","High",217,116.4,257.7,108.4,803,258.9,321.3,433.5,328.1,107.4,163.9,52.31958,7.08005,3475.683,3.564871,16.26345,0.413
"10072","BW","NO","High",217,117,254.4,108.4,803,258.2,319.8,422,326.1,107,163.2,51.26391,6.680511,3481.751,3.515372,16.349,0.447
"10073","BW","NO","High",217,117.6,251.8,108.5,803,257.5,318.3,409.7,326.5,106.6,163,50.91407,6.514668,3449.994,3.49027,16.38926,0.42
"10074","BW","NO","High",217.1,118.2,250,108.5,804,256.9,316.8,399.1,327.7,106.1,162.7,49.3309,6.582419,3597.888,3.394538,16.48865,0.444
"10075","BW","NO","High",217.1,118.7,248.7,108.5,804,256.2,315.5,390.3,328.5,105.6,162.3,48.09915,6.515125,3751.135,3.38921,16.51507,0.51
"10076","BW","NO","High",217,119.3,248.7,108.6,804,255.5,314.2,382.5,330.1,105.1,162.4,48.80742,6.515387,3909.025,3.409182,16.45971,0.528
"10077","BW","NO","High",217,119.8,250.4,108.6,805,254.8,313,376.5,334,104.6,163,49.16053,6.281981,3994.749,3.42642,16.43832,0.505
"10078","BW","NO","High",217,120.4,252.2,108.6,806,254.2,311.9,372.1,339.8,104.1,163.5,49.33872,6.048586,4133.05,3.442292,16.39555,0.64
"10079","BW","NO","High",217,120.9,254.1,108.6,807,253.5,310.8,369.9,345.3,103.7,164.1,48.10595,6.116388,3929.77,3.376801,16.49619,1.09
"10080","BW","NO","High",216.9,121.5,256.8,108.7,809,252.9,309.7,371.2,353.4,103.3,165.2,47.40311,6.584009,3773.063,3.382795,16.52262,1.58
"10081","BW","NO","High",216.9,122,260.3,108.7,810,252.3,308.9,375.1,364.7,103,166.7,48.63725,6.750422,3679.837,3.483701,16.42323,1.18
"10082","BW","NO","High",216.8,122.5,265.5,108.7,807,251.7,308.5,379.8,381.5,102.8,168.8,50.4032,6.682863,3535.155,3.64119,16.24417,0.799
"10083","BW","NO","High",216.8,123.1,271.3,108.7,801,251.2,308.4,385.5,404.7,102.4,171,53.39907,6.449397,3204.636,3.731256,16.12842,0.894
"10084","BW","NO","High",216.7,123.6,276.4,108.7,796.3,250.7,308.3,391.6,425.7,102,172.8,51.99096,6.351108,3070.273,3.522648,16.34733,1.39
"10085","BW","NO","High",216.7,124.1,280.8,108.7,792.9,250.3,308.2,398.5,438.9,101.6,174.2,49.52401,6.652869,3311.724,3.247906,16.64717,1.09
"10086","BW","NO","High",216.6,124.6,284.8,108.8,790.5,249.9,308.2,405.3,447.7,101.3,175.3,47.23505,7.520644,3924.862,3.098372,16.76626,0.663
"10087","BW","NO","High",216.6,125.1,287.9,108.8,789.3,249.5,307.8,413.7,454.8,101,176.1,43.00604,11.13158,4577.079,2.941597,16.86733,0.75
"10088","BW","NO","High",216.6,125.7,290.8,108.8,792.5,249.2,307,425.1,467.3,100.9,176.8,38.95509,11.26727,4042.81,2.666169,17.26571,1.42
"10091","BW","NO","Medium",216.5,127.3,303.5,108.7,806,248.4,304.7,457.1,493.9,100.1,178.2,42.30864,8.723001,3477.514,2.916591,17.03675,0.552
