Wood,Oven,Phase,IO_02L_Avg,UO_02_Avg,AO_02_Avg,IO_04R_Avg,FB_01_Avg,IO_01T_Avg,SA_01_Avg,P_01_Avg,AO_01_Avg,Roofline,Chimney,T_eff_Pot_1(%),T_eff_Pot_2(%)
BW,NO,High,183.8,79.24,395.3,90.4,817,267.6,375,495.4,543,126.7,211.5,4.557764402384104,0.29404931628284037
BW,NO,High,185.3,80.1,397.8,91.5,820,268.7,375.5,494.5,536.9,126.7,210.7,32.822779126622684,4.268433159964372
BW,NO,High,186.8,80.9,397.8,92.3,822,269.8,375.8,492.7,527.9,126.7,209.8,41.106783475213966,18.564353827516005
BW,NO,High,188.3,81.7,396.2,93,824,270.8,376,490.5,520,126.6,208.7,20.498419464078243,18.72877174056069
BW,NO,High,189.7,82.5,393,93.6,825,271.7,376,488.6,513.3,126.6,207.2,25.23797900934315,11.364470080230527
BW,NO,High,191.1,83.2,389.3,94.2,827,272.5,375.8,487.8,509.8,126.6,205.5,30.868357162984534,7.2370789520873124
BW,NO,High,192.5,84,385,94.8,829,273.3,375.3,486.9,506.4,126.5,203.7,22.906724437038235,11.527254877993395
BW,NO,High,193.8,84.8,380.7,95.4,830,274,374.7,485.3,501.1,126.3,201.9,17.89104013200161,20.84823684803492
BW,NO,High,195,85.5,376.1,96,832,274.6,373.8,481.4,497.5,126.2,200.2,23.075351381900067,10.798081095376354
BW,NO,High,196.3,86.3,371.7,96.6,833,275.1,372.9,477.3,493.8,126,198.7,20.27086299472426,8.137937698611912
BW,NO,High,197.4,87.1,367.4,97.2,834,275.5,372.1,472.2,490.6,125.8,197.2,24.862417250481347,3.551773892925884
BW,NO,High,198.6,87.8,364.2,97.7,835,275.9,371.5,467.7,483,125.5,195.5,18.50039861869804,14.948322083908039
BW,NO,High,199.7,88.6,361.3,98.3,836,276.1,371,461.9,476,125.2,193.9,11.840034538129311,5.4760159738848415
BW,NO,High,200.7,89.3,358.9,98.8,836,276.3,370.5,456.6,469.8,124.8,192.4,18.645789711753245,8.287017649668057
BW,NO,High,201.7,90.1,357.5,99.3,836,276.4,370.2,454.1,463.1,124.5,191.3,21.304723753083824,11.688008170094601
BW,NO,High,202.6,90.8,356,99.8,836,276.5,370.1,453.5,458.1,124.1,190.3,12.423744671803629,9.317808503852799
BW,NO,High,203.6,91.6,351.6,100.3,834,276.5,369.2,450.6,466.1,123.9,190.8,15.227470086340919,12.418519293714908
BW,NO,High,204.4,92.4,347.1,100.7,836,276.5,368,446.1,487.2,123.5,192.1,18.3226366854761,5.0239487685982755
BW,NO,High,205.3,93.2,341.9,101.2,838,276.4,366.4,442.8,498.7,123.1,192,19.0498386421414,8.712716898343746
BW,NO,High,206.1,93.9,336.2,101.6,840,276.3,364.7,438.5,495.3,122.7,190.7,11.215309291470799,8.706621686799721
BW,NO,High,206.9,94.7,329.6,102,842,276.2,362.8,433.4,482,122.3,188.6,15.040282665633356,9.731947607174495
BW,NO,High,207.6,95.4,322.2,102.4,841,276.1,360.3,427.5,463.5,121.9,185.9,12.522655812222752,9.723473924784711
BW,NO,High,208.3,96.2,315.2,102.8,842,275.8,357.8,420.6,447.4,121.4,183.7,21.783416263056115,12.216375336713904
BW,NO,High,209,96.9,309.5,103.2,844,275.5,355.5,420.4,436.3,120.9,183,8.969073153854373,13.82119469610349
BW,NO,High,209.6,97.7,305.3,103.6,845,275.1,353.3,428,428.7,120.4,183.2,7.784226801541308,1.0281054266186653
BW,NO,High,210.2,98.4,301.6,103.9,845,274.7,351.2,437,421.9,119.8,183.1,14.523353900797687,5.868021778100042
BW,NO,High,210.7,99.2,297.7,104.2,845,274.3,349.4,440,414,119.3,182.5,17.87540099354986,5.1281888096249855
BW,NO,High,211.2,99.9,293.9,104.5,844,273.8,347.8,440.2,405.2,118.8,181.7,12.877066981750323,8.7798183966479435
BW,NO,High,211.7,100.7,290.6,104.8,842,273.3,346.2,442.8,397.9,118.2,181,6.283724990571169,8.037322662358438
BW,NO,High,212.2,101.4,288.1,105.1,840,272.8,344.6,449.2,393.4,117.7,180.6,11.528384060884663,8.172019081133476
BW,NO,High,212.6,102.2,286.4,105.3,837,272.3,343.2,455.7,390.8,117.1,180,15.008992552266514,6.70304521751709
BW,NO,High,213,102.9,284.9,105.6,840,271.7,342,460.1,388.5,116.6,179.3,14.69573106011263,7.129612098470424
BW,NO,High,213.4,103.6,283.6,105.8,844,271.1,340.9,463.4,385.3,116.1,178.7,9.152729770290215,7.118789821336834
BW,NO,High,213.7,104.4,282.9,106,843,270.5,339.7,464.5,381.6,115.6,178.1,8.123167723367267,4.641810127638482
BW,NO,High,214.1,105.1,282.1,106.2,840,269.9,338.5,463.8,376.9,115.1,177.3,12.744907901409494,9.848337923816395
BW,NO,High,214.4,105.8,281.1,106.4,836,269.3,337.2,463.8,371.7,114.6,176.4,15.616585327504264,7.085302602293641
BW,NO,High,214.7,106.5,280.2,106.6,832,268.7,335.9,461,366.6,114.1,175.5,6.9295631332085685,6.063367741557472
BW,NO,High,214.9,107.2,279.4,106.8,828,268.1,334.6,456.5,361.8,113.6,174.6,10.521705311690022,5.909450928483414
BW,NO,High,215.2,107.9,278.5,106.9,824,267.4,333.4,452.6,358.3,113.2,173.8,10.216896768414232,5.612098224903593
BW,NO,High,215.4,108.6,277.7,107.1,822,266.8,332.2,450.5,355.8,112.7,173.1,14.366769948044844,5.459372580257078
BW,NO,High,215.6,109.2,276.9,107.2,820,266.1,331,449.4,353.5,112.3,172.5,9.753713618510975,6.454663424014556
BW,NO,High,215.8,109.9,276.3,107.4,818,265.5,330,447.3,351,111.8,171.9,8.449302957506166,7.73326033398873
BW,NO,High,216,110.6,275.2,107.5,817,264.8,329,445,348.5,111.4,171.3,10.723735818521146,5.862308914124945
BW,NO,High,216.2,111.3,273.6,107.6,817,264.2,328.2,445.4,346.2,110.9,170.7,9.279502689179505,3.997324235338845
BW,NO,High,216.3,111.9,272,107.7,815,263.5,327.4,448.3,344.6,110.5,170.3,11.403566176194941,6.414505974109616
BW,NO,High,216.4,112.6,270.4,107.8,813,262.8,326.7,451.2,342.4,110,170.3,8.25530649449683,6.12031343557525
BW,NO,High,216.6,113.3,268.9,107.9,811,262.2,326,453.5,340.9,109.6,170.4,11.085920183835881,5.827214455606084
BW,NO,High,216.7,113.9,267.1,108,809,261.5,325.1,453.4,339.5,109.1,169.9,7.8060520760667425,5.960985221723648
BW,NO,High,216.8,114.6,264.8,108.1,807,260.9,324.1,450.6,337,108.7,168.6,11.764144309873641,5.811203815720778
BW,NO,High,216.9,115.2,262.5,108.2,806,260.2,323.3,446.2,334.5,108.2,167.3,8.49319431298648,5.379023064891399
BW,NO,High,216.9,115.8,260.3,108.3,805,259.6,322.5,441.1,332,107.8,165.7,8.90684958840163,3.817221252172099
BW,NO,High,217,116.4,257.7,108.4,803,258.9,321.3,433.5,328.1,107.4,163.9,9.602504865194424,4.660039125756047
BW,NO,High,217,117,254.4,108.4,803,258.2,319.8,422,326.1,107,163.2,8.463485864499924,7.335021082566715
BW,NO,High,217,117.6,251.8,108.5,803,257.5,318.3,409.7,326.5,106.6,163,9.300294602244428,4.227406637383812
BW,NO,High,217.1,118.2,250,108.5,804,256.9,316.8,399.1,327.7,106.1,162.7,7.602134993950779,6.33511249495895
BW,NO,High,217.1,118.7,248.7,108.5,804,256.2,315.5,390.3,328.5,105.6,162.3,8.017554472026129,3.9384478108199166
BW,NO,High,217,119.3,248.7,108.6,804,255.5,314.2,382.5,330.1,105.1,162.4,11.384536958061085,2.389347262802961
BW,NO,High,217,119.8,250.4,108.6,805,254.8,313,376.5,334,104.6,163,6.601328242686777,3.932706187132474
BW,NO,High,217,120.4,252.2,108.6,806,254.2,311.9,372.1,339.8,104.1,163.5,6.597448377045817,7.018562103240248
BW,NO,High,217,120.9,254.1,108.6,807,253.5,310.8,369.9,345.3,103.7,164.1,10.943610742734865,6.033016178687157
BW,NO,High,216.9,121.5,256.8,108.7,809,252.9,309.7,371.2,353.4,103.3,165.2,5.469698044257938,1.9634813492208032
BW,NO,High,216.9,122,260.3,108.7,810,252.3,308.9,375.1,364.7,103,166.7,8.272367476308029,6.449642439155388
BW,NO,High,216.8,122.5,265.5,108.7,807,251.7,308.5,379.8,381.5,102.8,168.8,8.971904861432868,1.682232161518725
BW,NO,High,216.8,123.1,271.3,108.7,801,251.2,308.4,385.5,404.7,102.4,171,8.270519445656742,6.448201601698352
BW,NO,High,216.7,123.6,276.4,108.7,796.3,250.7,308.3,391.6,425.7,102,172.8,5.467288669876141,4.9065411139914215
BW,NO,High,216.7,124.1,280.8,108.7,792.9,250.3,308.2,398.5,438.9,101.6,174.2,6.169336756692655,3.2248805773621423
BW,NO,High,216.6,124.6,284.8,108.8,790.5,249.9,308.2,405.3,447.7,101.3,175.3,11.641132882804763,5.890693747925238
BW,NO,High,216.6,125.1,287.9,108.8,789.3,249.5,307.8,413.7,454.8,101,176.1,7.717297479121915,19.784344446476336
BW,NO,High,216.6,125.7,290.8,108.8,792.5,249.2,307,425.1,467.3,100.9,176.8,6.036864962473346,40.432956027727855
BW,NO,Medium,216.5,127.3,303.5,108.7,806,248.4,304.7,457.1,493.9,100.1,178.2,-68.11597085345015,6.473831940617175
BW,NO,Medium,216.5,127.8,307,108.8,808,248.2,304.4,466.1,497.9,99.9,178.3,15.638521968458093,6.6217165091669274
BW,NO,Medium,216.5,128.2,308.9,108.8,806,248,304.7,473.4,494.7,99.8,178.1,18.90190222490382,1.6927076619316996
BW,NO,Medium,216.5,128.7,311.5,108.9,807,247.9,304.6,482.9,498,99.6,178.5,23.729977624507736,3.107497069875998
BW,NO,Medium,216.5,129.2,314.5,108.9,810,247.8,304.5,489.2,504,99.5,179.1,12.307061690477473,8.204707793651664
BW,NO,Medium,216.5,129.7,317.7,109,812,247.7,304.6,492,510.7,99.4,179.7,9.776678730521626,6.5177858203477514
